UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
BA,Monte Santo,50,41253,20739,20514,176
BA,Morpará,173,7605,3688,3917,33
BA,Morro do Chapéu,55,25778,13253,12525,112
BA,Mortugaba,92,9352,4852,4500,33
BA,Mucugê,119,9655,4931,4724,38
BA,Mucuri,35,27951,14212,13739,102
BA,Mulungu do Morro,55,10730,5553,5177,43
BA,Mundo Novo,54,14671,7528,7143,64
BA,Muniz Ferreira,202,8137,4187,3950,32
BA,Muquém do São Francisco,98,9568,4609,4959,34
BA,Muritiba,131,23484,12736,10748,74
BA,Mutuípe,109,17593,9164,8429,56
BA,Nazaré,30,21798,11600,10198,76
BA,Nilo Peçanha,32,9791,5043,4748,31
BA,Nordestina,106,10254,5018,5236,38
BA,Nova Canaã,146,12225,6119,6106,47
BA,Nova Fátima,196,7842,4053,3789,33
BA,Nova Ibiá,151,5446,2664,2782,20
BA,Nova Itarana,36,6454,3321,3133,23
BA,Nova Redenção,119,6338,3143,3195,25
BA,Nova Soure,79,20707,10556,10151,80
BA,Nova Viçosa,35,30429,15745,14684,109
BA,Novo Horizonte,88,8993,4536,4457,42
BA,Novo Triunfo,82,8081,4115,3966,25
BA,Olindina,81,19393,9992,9401,73
BA,Oliveira dos Brejinhos,94,16240,8036,8204,73
BA,Ouriçangas,74,7127,3605,3522,27
BA,Ourolândia,167,14305,7255,7050,45
BA,Palmas de Monte Alto,175,16904,8474,8430,69
BA,Palmeiras,89,7880,4062,3818,24
BA,Paramirim,111,16775,8607,8168,71
BA,Paratinga,173,23695,11955,11740,85
BA,Paripiranga,52,23087,12119,10968,88
BA,Pau Brasil,133,7548,3793,3755,38
BA,Paulo Afonso,84,42516,22721,19795,126
BA,Paulo Afonso,181,39988,21622,18366,157
BA,Pedro Alexandre,51,10005,4995,5010,39
BA,Pedrão,130,6509,3297,3212,21
BA,Piatã,105,17070,8897,8173,83
BA,Pilão Arcado,195,27932,13760,14172,134
BA,Pindaí,117,12550,6264,6286,42
BA,Pindobaçu,115,15780,8009,7771,64
BA,Pintadas,62,8869,4558,4311,36
BA,Piraí do Norte,151,7027,3418,3609,26
BA,Piripá,177,8871,4522,4349,27
BA,Piritiba,54,13931,7217,6714,53
BA,Planaltino,37,6843,3386,3457,29
BA,Planalto,139,20026,10529,9497,80
BA,Pojuca,200,28914,15486,13428,88
BA,Ponto Novo,149,14687,7636,7051,44
BA,Porto Seguro,121,29584,15619,13965,95
BA,Porto Seguro,122,82295,44211,38084,226
BA,Potiraguá,138,7782,3883,3899,32
BA,Poções,59,36515,19177,17338,133
BA,Prado,112,25115,12782,12333,83
BA,Presidente Dutra,95,11780,6019,5761,52
BA,Presidente Jânio Quadros,60,10444,5175,5269,37
BA,Presidente Tancredo Neves,197,21238,10851,10387,69
BA,Pé de Serra,114,11905,6119,5786,47
BA,Queimadas,106,20111,10098,10013,66
BA,Quijingue,102,20612,10196,10416,77
BA,Quixabeira,191,8661,4463,4198,32
BA,Rafael Jambeiro,43,18473,9888,8585,65
BA,Remanso,67,31674,16222,15452,113
BA,Retirolândia,196,12667,6596,6071,54
BA,Riacho de Santana,113,23315,11659,11656,88
BA,Riachão das Neves,182,19074,9240,9834,89
BA,Riachão do Jacuípe,114,27244,14331,12913,100
BA,Ribeira do Amparo,79,12112,6078,6034,46
BA,Ribeira do Pombal,110,43998,23016,20982,147
BA,Ribeirão do Largo,152,8723,4229,4494,29
BA,Rio Real,49,28532,14900,13632,94
BA,Rio de Contas,101,12020,6173,5847,49
BA,Rio do Antônio,93,10505,5286,5219,42
BA,Rio do Pires,111,11409,5645,5764,41
BA,Rodelas,158,7491,3955,3536,22
BA,Ruy Barbosa,87,23666,12584,11082,86
BA,Salinas da Margarida,30,15819,8579,7240,45
BA,Salvador,1,74135,42360,31775,224
BA,Salvador,2,86832,48881,37951,256
BA,Salvador,3,106370,59121,47249,277
BA,Salvador,4,120345,65601,54744,316
BA,Salvador,5,82323,45862,36461,230
BA,Salvador,6,92409,51919,40490,242
BA,Salvador,7,90896,50394,40502,244
BA,Salvador,8,104239,57023,47216,281
BA,Salvador,9,93140,51360,41780,257
BA,Salvador,10,135775,75660,60115,328
BA,Salvador,11,115561,63452,52109,287
BA,Salvador,12,119415,66401,53014,285
BA,Salvador,13,106678,60263,46415,270
BA,Salvador,14,113191,62696,50495,280
BA,Salvador,15,86475,47619,38856,254
BA,Salvador,16,100353,55719,44634,266
BA,Salvador,17,102399,56014,46385,280
BA,Salvador,18,74066,40873,33193,263
BA,Salvador,19,126263,70507,55756,311
BA,Santa Brígida,181,11668,5836,5832,47
